['location', 'city', 'country', 'utc', 'local', 'parameter', 'value', 'unit', 'latitude', 'longitude', 'attribution'],,
['E. Milton - Blue Hil', 'Boston-Cambridge-Quincy', 'US', '2020-02-08T15:00:00.000Z', '2020-02-08T10:00:00-05:00', 'o3', '0.037', 'ppm', '42.2117', '-71.114403'," '[{""name"":""US EPA AirNow""","url:""http://www.airnow.gov/""}","{""name"":""Massachusetts Dept. of Environmental Protection""}]']"
['Boston - Roxbury', 'Boston-Cambridge-Quincy', 'US', '2020-02-08T15:00:00.000Z', '2020-02-08T10:00:00-05:00', 'pm25', '10', 'µg/m³', '42.329399', '-71.082497'," '[{""name"":""US EPA AirNow""","url:""http://www.airnow.gov/""}","{""name"":""Massachusetts Dept. of Environmental Protection""}]']"
['Boston - Roxbury', 'Boston-Cambridge-Quincy', 'US', '2020-02-08T15:00:00.000Z', '2020-02-08T10:00:00-05:00', 'o3', '0.035', 'ppm', '42.329399', '-71.082497'," '[{""name"":""US EPA AirNow""","url:""http://www.airnow.gov/""}","{""name"":""Massachusetts Dept. of Environmental Protection""}]']"
['Boston - Roxbury', 'Boston-Cambridge-Quincy', 'US', '2020-02-08T14:00:00.000Z', '2020-02-08T09:00:00-05:00', 'so2', '0.001', 'ppm', '42.329399', '-71.082497'," '[{""name"":""US EPA AirNow""","url:""http://www.airnow.gov/""}","{""name"":""Massachusetts Dept. of Environmental Protection""}]']"
['LYNN', 'Boston-Cambridge-Quincy', 'US', '2020-02-08T14:00:00.000Z', '2020-02-08T09:00:00-05:00', 'o3', '0.033', 'ppm', '42.474701', '-70.971901'," '[{""name"":""US EPA AirNow""","url:""http://www.airnow.gov/""}","{""name"":""Massachusetts Dept. of Environmental Protection""}]']"
['Boston - Roxbury', 'Boston-Cambridge-Quincy', 'US', '2020-02-08T14:00:00.000Z', '2020-02-08T09:00:00-05:00', 'co', '0.17', 'ppm', '42.329399', '-71.082497'," '[{""name"":""US EPA AirNow""","url:""http://www.airnow.gov/""}","{""name"":""Massachusetts Dept. of Environmental Protection""}]']"
['LYNN', 'Boston-Cambridge-Quincy', 'US', '2020-02-08T14:00:00.000Z', '2020-02-08T09:00:00-05:00', 'no2', '0.002', 'ppm', '42.474701', '-70.971901'," '[{""name"":""US EPA AirNow""","url:""http://www.airnow.gov/""}","{""name"":""Massachusetts Dept. of Environmental Protection""}]']"
['BOSTON-KENMORE', 'Boston-Cambridge-Quincy', 'US', '2020-02-08T14:00:00.000Z', '2020-02-08T09:00:00-05:00', 'no2', '0.004', 'ppm', '42.3489', '-71.097702'," '[{""name"":""US EPA AirNow""","url:""http://www.airnow.gov/""}","{""name"":""Massachusetts Dept. of Environmental Protection""}]']"
['Boston - Roxbury', 'Boston-Cambridge-Quincy', 'US', '2020-02-08T14:00:00.000Z', '2020-02-08T09:00:00-05:00', 'pm25', '8', 'µg/m³', '42.329399', '-71.082497'," '[{""name"":""US EPA AirNow""","url:""http://www.airnow.gov/""}","{""name"":""Massachusetts Dept. of Environmental Protection""}]']"
['BOSTON-KENMORE', 'Boston-Cambridge-Quincy', 'US', '2020-02-08T14:00:00.000Z', '2020-02-08T09:00:00-05:00', 'so2', '0', 'ppm', '42.3489', '-71.097702'," '[{""name"":""US EPA AirNow""","url:""http://www.airnow.gov/""}","{""name"":""Massachusetts Dept. of Environmental Protection""}]']"
['Boston - Roxbury', 'Boston-Cambridge-Quincy', 'US', '2020-02-08T14:00:00.000Z', '2020-02-08T09:00:00-05:00', 'o3', '0.034', 'ppm', '42.329399', '-71.082497'," '[{""name"":""US EPA AirNow""","url:""http://www.airnow.gov/""}","{""name"":""Massachusetts Dept. of Environmental Protection""}]']"
['Portsmouth', 'Boston-Cambridge-Quincy', 'US', '2020-02-08T14:00:00.000Z', '2020-02-08T09:00:00-05:00', 'o3', '0.036', 'ppm', '43.075371', '-70.748017'," '[{""name"":""US EPA AirNow""","url:""http://www.airnow.gov/""}","{""name"":""New Hampshire Dept. of Environmental Services""}]']"
['Portsmouth', 'Boston-Cambridge-Quincy', 'US', '2020-02-08T14:00:00.000Z', '2020-02-08T09:00:00-05:00', 'pm10', '11', 'µg/m³', '43.075371', '-70.748017'," '[{""name"":""US EPA AirNow""","url:""http://www.airnow.gov/""}","{""name"":""New Hampshire Dept. of Environmental Services""}]']"
['Boston - Roxbury', 'Boston-Cambridge-Quincy', 'US', '2020-02-08T14:00:00.000Z', '2020-02-08T09:00:00-05:00', 'no2', '0.005', 'ppm', '42.329399', '-71.082497'," '[{""name"":""US EPA AirNow""","url:""http://www.airnow.gov/""}","{""name"":""Massachusetts Dept. of Environmental Protection""}]']"
['LYNN', 'Boston-Cambridge-Quincy', 'US', '2020-02-08T14:00:00.000Z', '2020-02-08T09:00:00-05:00', 'pm25', '6', 'µg/m³', '42.474701', '-70.971901'," '[{""name"":""US EPA AirNow""","url:""http://www.airnow.gov/""}","{""name"":""Massachusetts Dept. of Environmental Protection""}]']"
['Portsmouth', 'Boston-Cambridge-Quincy', 'US', '2020-02-08T14:00:00.000Z', '2020-02-08T09:00:00-05:00', 'so2', '0.002', 'ppm', '43.075371', '-70.748017'," '[{""name"":""US EPA AirNow""","url:""http://www.airnow.gov/""}","{""name"":""New Hampshire Dept. of Environmental Services""}]']"
['Odiorne State Park', 'Boston-Cambridge-Quincy', 'US', '2020-02-08T14:00:00.000Z', '2020-02-08T09:00:00-05:00', 'o3', '0.037', 'ppm', '43.045269', '-70.713958'," '[{""name"":""US EPA AirNow""","url:""http://www.airnow.gov/""}","{""name"":""New Hampshire Dept. of Environmental Services""}]']"
['Haverhill', 'Boston-Cambridge-Quincy', 'US', '2020-02-08T14:00:00.000Z', '2020-02-08T09:00:00-05:00', 'pm25', '0', 'µg/m³', '42.7708', '-71.1028'," '[{""name"":""US EPA AirNow""","url:""http://www.airnow.gov/""}","{""name"":""Massachusetts Dept. of Environmental Protection""}]']"
['E. Milton - Blue Hil', 'Boston-Cambridge-Quincy', 'US', '2020-02-08T14:00:00.000Z', '2020-02-08T09:00:00-05:00', 'o3', '0.036', 'ppm', '42.2117', '-71.114403'," '[{""name"":""US EPA AirNow""","url:""http://www.airnow.gov/""}","{""name"":""Massachusetts Dept. of Environmental Protection""}]']"
['Haverhill', 'Boston-Cambridge-Quincy', 'US', '2020-02-08T14:00:00.000Z', '2020-02-08T09:00:00-05:00', 'o3', '0.025', 'ppm', '42.7708', '-71.1028'," '[{""name"":""US EPA AirNow""","url:""http://www.airnow.gov/""}","{""name"":""Massachusetts Dept. of Environmental Protection""}]']"
['Portsmouth', 'Boston-Cambridge-Quincy', 'US', '2020-02-08T14:00:00.000Z', '2020-02-08T09:00:00-05:00', 'pm25', '3.1', 'µg/m³', '43.075371', '-70.748017'," '[{""name"":""US EPA AirNow""","url:""http://www.airnow.gov/""}","{""name"":""New Hampshire Dept. of Environmental Services""}]']"
['E. Milton - Blue Hil', 'Boston-Cambridge-Quincy', 'US', '2020-02-08T14:00:00.000Z', '2020-02-08T09:00:00-05:00', 'no2', '0.001', 'ppm', '42.2117', '-71.114403'," '[{""name"":""US EPA AirNow""","url:""http://www.airnow.gov/""}","{""name"":""Massachusetts Dept. of Environmental Protection""}]']"
['Chelmsford', 'Boston-Cambridge-Quincy', 'US', '2020-02-08T14:00:00.000Z', '2020-02-08T09:00:00-05:00', 'o3', '0.039', 'ppm', '42.6267', '-71.3622'," '[{""name"":""US EPA AirNow""","url:""http://www.airnow.gov/""}","{""name"":""Massachusetts Dept. of Environmental Protection""}]']"
['E. Milton - Blue Hil', 'Boston-Cambridge-Quincy', 'US', '2020-02-08T13:00:00.000Z', '2020-02-08T08:00:00-05:00', 'o3', '0.037', 'ppm', '42.2117', '-71.114403'," '[{""name"":""US EPA AirNow""","url:""http://www.airnow.gov/""}","{""name"":""Massachusetts Dept. of Environmental Protection""}]']"
['Boston - Roxbury', 'Boston-Cambridge-Quincy', 'US', '2020-02-08T13:00:00.000Z', '2020-02-08T08:00:00-05:00', 'co', '0.16', 'ppm', '42.329399', '-71.082497'," '[{""name"":""US EPA AirNow""","url:""http://www.airnow.gov/""}","{""name"":""Massachusetts Dept. of Environmental Protection""}]']"
['Boston - Roxbury', 'Boston-Cambridge-Quincy', 'US', '2020-02-08T13:00:00.000Z', '2020-02-08T08:00:00-05:00', 'o3', '0.033', 'ppm', '42.329399', '-71.082497'," '[{""name"":""US EPA AirNow""","url:""http://www.airnow.gov/""}","{""name"":""Massachusetts Dept. of Environmental Protection""}]']"
['Haverhill', 'Boston-Cambridge-Quincy', 'US', '2020-02-08T13:00:00.000Z', '2020-02-08T08:00:00-05:00', 'pm25', '0', 'µg/m³', '42.7708', '-71.1028'," '[{""name"":""US EPA AirNow""","url:""http://www.airnow.gov/""}","{""name"":""Massachusetts Dept. of Environmental Protection""}]']"
['Portsmouth', 'Boston-Cambridge-Quincy', 'US', '2020-02-08T13:00:00.000Z', '2020-02-08T08:00:00-05:00', 'o3', '0.033', 'ppm', '43.075371', '-70.748017'," '[{""name"":""US EPA AirNow""","url:""http://www.airnow.gov/""}","{""name"":""New Hampshire Dept. of Environmental Services""}]']"
['E. Milton - Blue Hil', 'Boston-Cambridge-Quincy', 'US', '2020-02-08T13:00:00.000Z', '2020-02-08T08:00:00-05:00', 'no2', '0.001', 'ppm', '42.2117', '-71.114403'," '[{""name"":""US EPA AirNow""","url:""http://www.airnow.gov/""}","{""name"":""Massachusetts Dept. of Environmental Protection""}]']"
['Boston - Roxbury', 'Boston-Cambridge-Quincy', 'US', '2020-02-08T13:00:00.000Z', '2020-02-08T08:00:00-05:00', 'pm25', '3', 'µg/m³', '42.329399', '-71.082497'," '[{""name"":""US EPA AirNow""","url:""http://www.airnow.gov/""}","{""name"":""Massachusetts Dept. of Environmental Protection""}]']"
['BOSTON-KENMORE', 'Boston-Cambridge-Quincy', 'US', '2020-02-08T13:00:00.000Z', '2020-02-08T08:00:00-05:00', 'no2', '0.005', 'ppm', '42.3489', '-71.097702'," '[{""name"":""US EPA AirNow""","url:""http://www.airnow.gov/""}","{""name"":""Massachusetts Dept. of Environmental Protection""}]']"
['Portsmouth', 'Boston-Cambridge-Quincy', 'US', '2020-02-08T13:00:00.000Z', '2020-02-08T08:00:00-05:00', 'pm25', '3.2', 'µg/m³', '43.075371', '-70.748017'," '[{""name"":""US EPA AirNow""","url:""http://www.airnow.gov/""}","{""name"":""New Hampshire Dept. of Environmental Services""}]']"
['LYNN', 'Boston-Cambridge-Quincy', 'US', '2020-02-08T13:00:00.000Z', '2020-02-08T08:00:00-05:00', 'o3', '0.033', 'ppm', '42.474701', '-70.971901'," '[{""name"":""US EPA AirNow""","url:""http://www.airnow.gov/""}","{""name"":""Massachusetts Dept. of Environmental Protection""}]']"
['LYNN', 'Boston-Cambridge-Quincy', 'US', '2020-02-08T13:00:00.000Z', '2020-02-08T08:00:00-05:00', 'pm25', '3', 'µg/m³', '42.474701', '-70.971901'," '[{""name"":""US EPA AirNow""","url:""http://www.airnow.gov/""}","{""name"":""Massachusetts Dept. of Environmental Protection""}]']"
['Boston - Roxbury', 'Boston-Cambridge-Quincy', 'US', '2020-02-08T13:00:00.000Z', '2020-02-08T08:00:00-05:00', 'no2', '0.005', 'ppm', '42.329399', '-71.082497'," '[{""name"":""US EPA AirNow""","url:""http://www.airnow.gov/""}","{""name"":""Massachusetts Dept. of Environmental Protection""}]']"
['Odiorne State Park', 'Boston-Cambridge-Quincy', 'US', '2020-02-08T13:00:00.000Z', '2020-02-08T08:00:00-05:00', 'o3', '0.035', 'ppm', '43.045269', '-70.713958'," '[{""name"":""US EPA AirNow""","url:""http://www.airnow.gov/""}","{""name"":""New Hampshire Dept. of Environmental Services""}]']"
['Portsmouth', 'Boston-Cambridge-Quincy', 'US', '2020-02-08T13:00:00.000Z', '2020-02-08T08:00:00-05:00', 'pm10', '6', 'µg/m³', '43.075371', '-70.748017'," '[{""name"":""US EPA AirNow""","url:""http://www.airnow.gov/""}","{""name"":""New Hampshire Dept. of Environmental Services""}]']"
['Boston - Roxbury', 'Boston-Cambridge-Quincy', 'US', '2020-02-08T13:00:00.000Z', '2020-02-08T08:00:00-05:00', 'so2', '0', 'ppm', '42.329399', '-71.082497'," '[{""name"":""US EPA AirNow""","url:""http://www.airnow.gov/""}","{""name"":""Massachusetts Dept. of Environmental Protection""}]']"
['BOSTON-KENMORE', 'Boston-Cambridge-Quincy', 'US', '2020-02-08T13:00:00.000Z', '2020-02-08T08:00:00-05:00', 'so2', '0', 'ppm', '42.3489', '-71.097702'," '[{""name"":""US EPA AirNow""","url:""http://www.airnow.gov/""}","{""name"":""Massachusetts Dept. of Environmental Protection""}]']"
['LYNN', 'Boston-Cambridge-Quincy', 'US', '2020-02-08T13:00:00.000Z', '2020-02-08T08:00:00-05:00', 'no2', '0.002', 'ppm', '42.474701', '-70.971901'," '[{""name"":""US EPA AirNow""","url:""http://www.airnow.gov/""}","{""name"":""Massachusetts Dept. of Environmental Protection""}]']"
['Haverhill', 'Boston-Cambridge-Quincy', 'US', '2020-02-08T13:00:00.000Z', '2020-02-08T08:00:00-05:00', 'o3', '0.024', 'ppm', '42.7708', '-71.1028'," '[{""name"":""US EPA AirNow""","url:""http://www.airnow.gov/""}","{""name"":""Massachusetts Dept. of Environmental Protection""}]']"
['Portsmouth', 'Boston-Cambridge-Quincy', 'US', '2020-02-08T13:00:00.000Z', '2020-02-08T08:00:00-05:00', 'so2', '0.002', 'ppm', '43.075371', '-70.748017'," '[{""name"":""US EPA AirNow""","url:""http://www.airnow.gov/""}","{""name"":""New Hampshire Dept. of Environmental Services""}]']"
['Chelmsford', 'Boston-Cambridge-Quincy', 'US', '2020-02-08T13:00:00.000Z', '2020-02-08T08:00:00-05:00', 'o3', '0.039', 'ppm', '42.6267', '-71.3622'," '[{""name"":""US EPA AirNow""","url:""http://www.airnow.gov/""}","{""name"":""Massachusetts Dept. of Environmental Protection""}]']"
['E. Milton - Blue Hil', 'Boston-Cambridge-Quincy', 'US', '2020-02-08T12:00:00.000Z', '2020-02-08T07:00:00-05:00', 'no2', '0.001', 'ppm', '42.2117', '-71.114403'," '[{""name"":""US EPA AirNow""","url:""http://www.airnow.gov/""}","{""name"":""Massachusetts Dept. of Environmental Protection""}]']"
['Boston - Roxbury', 'Boston-Cambridge-Quincy', 'US', '2020-02-08T12:00:00.000Z', '2020-02-08T07:00:00-05:00', 'co', '0.15', 'ppm', '42.329399', '-71.082497'," '[{""name"":""US EPA AirNow""","url:""http://www.airnow.gov/""}","{""name"":""Massachusetts Dept. of Environmental Protection""}]']"
['LYNN', 'Boston-Cambridge-Quincy', 'US', '2020-02-08T12:00:00.000Z', '2020-02-08T07:00:00-05:00', 'o3', '0.031', 'ppm', '42.474701', '-70.971901'," '[{""name"":""US EPA AirNow""","url:""http://www.airnow.gov/""}","{""name"":""Massachusetts Dept. of Environmental Protection""}]']"
['Boston - Roxbury', 'Boston-Cambridge-Quincy', 'US', '2020-02-08T12:00:00.000Z', '2020-02-08T07:00:00-05:00', 'so2', '0.001', 'ppm', '42.329399', '-71.082497'," '[{""name"":""US EPA AirNow""","url:""http://www.airnow.gov/""}","{""name"":""Massachusetts Dept. of Environmental Protection""}]']"
['Portsmouth', 'Boston-Cambridge-Quincy', 'US', '2020-02-08T12:00:00.000Z', '2020-02-08T07:00:00-05:00', 'so2', '0.002', 'ppm', '43.075371', '-70.748017'," '[{""name"":""US EPA AirNow""","url:""http://www.airnow.gov/""}","{""name"":""New Hampshire Dept. of Environmental Services""}]']"
['Haverhill', 'Boston-Cambridge-Quincy', 'US', '2020-02-08T12:00:00.000Z', '2020-02-08T07:00:00-05:00', 'o3', '0.023', 'ppm', '42.7708', '-71.1028'," '[{""name"":""US EPA AirNow""","url:""http://www.airnow.gov/""}","{""name"":""Massachusetts Dept. of Environmental Protection""}]']"
['Portsmouth', 'Boston-Cambridge-Quincy', 'US', '2020-02-08T12:00:00.000Z', '2020-02-08T07:00:00-05:00', 'pm10', '6', 'µg/m³', '43.075371', '-70.748017'," '[{""name"":""US EPA AirNow""","url:""http://www.airnow.gov/""}","{""name"":""New Hampshire Dept. of Environmental Services""}]']"
['BOSTON-KENMORE', 'Boston-Cambridge-Quincy', 'US', '2020-02-08T12:00:00.000Z', '2020-02-08T07:00:00-05:00', 'so2', '0', 'ppm', '42.3489', '-71.097702'," '[{""name"":""US EPA AirNow""","url:""http://www.airnow.gov/""}","{""name"":""Massachusetts Dept. of Environmental Protection""}]']"
['Portsmouth', 'Boston-Cambridge-Quincy', 'US', '2020-02-08T12:00:00.000Z', '2020-02-08T07:00:00-05:00', 'pm25', '2.8', 'µg/m³', '43.075371', '-70.748017'," '[{""name"":""US EPA AirNow""","url:""http://www.airnow.gov/""}","{""name"":""New Hampshire Dept. of Environmental Services""}]']"
['LYNN', 'Boston-Cambridge-Quincy', 'US', '2020-02-08T12:00:00.000Z', '2020-02-08T07:00:00-05:00', 'pm25', '4', 'µg/m³', '42.474701', '-70.971901'," '[{""name"":""US EPA AirNow""","url:""http://www.airnow.gov/""}","{""name"":""Massachusetts Dept. of Environmental Protection""}]']"
['Boston - Roxbury', 'Boston-Cambridge-Quincy', 'US', '2020-02-08T12:00:00.000Z', '2020-02-08T07:00:00-05:00', 'no2', '0.006', 'ppm', '42.329399', '-71.082497'," '[{""name"":""US EPA AirNow""","url:""http://www.airnow.gov/""}","{""name"":""Massachusetts Dept. of Environmental Protection""}]']"
['E. Milton - Blue Hil', 'Boston-Cambridge-Quincy', 'US', '2020-02-08T12:00:00.000Z', '2020-02-08T07:00:00-05:00', 'o3', '0.037', 'ppm', '42.2117', '-71.114403'," '[{""name"":""US EPA AirNow""","url:""http://www.airnow.gov/""}","{""name"":""Massachusetts Dept. of Environmental Protection""}]']"
['LYNN', 'Boston-Cambridge-Quincy', 'US', '2020-02-08T12:00:00.000Z', '2020-02-08T07:00:00-05:00', 'no2', '0.002', 'ppm', '42.474701', '-70.971901'," '[{""name"":""US EPA AirNow""","url:""http://www.airnow.gov/""}","{""name"":""Massachusetts Dept. of Environmental Protection""}]']"
['Boston - Roxbury', 'Boston-Cambridge-Quincy', 'US', '2020-02-08T12:00:00.000Z', '2020-02-08T07:00:00-05:00', 'o3', '0.033', 'ppm', '42.329399', '-71.082497'," '[{""name"":""US EPA AirNow""","url:""http://www.airnow.gov/""}","{""name"":""Massachusetts Dept. of Environmental Protection""}]']"
['BOSTON-KENMORE', 'Boston-Cambridge-Quincy', 'US', '2020-02-08T12:00:00.000Z', '2020-02-08T07:00:00-05:00', 'no2', '0.006', 'ppm', '42.3489', '-71.097702'," '[{""name"":""US EPA AirNow""","url:""http://www.airnow.gov/""}","{""name"":""Massachusetts Dept. of Environmental Protection""}]']"
['Boston - Roxbury', 'Boston-Cambridge-Quincy', 'US', '2020-02-08T12:00:00.000Z', '2020-02-08T07:00:00-05:00', 'pm25', '2', 'µg/m³', '42.329399', '-71.082497'," '[{""name"":""US EPA AirNow""","url:""http://www.airnow.gov/""}","{""name"":""Massachusetts Dept. of Environmental Protection""}]']"
['Haverhill', 'Boston-Cambridge-Quincy', 'US', '2020-02-08T12:00:00.000Z', '2020-02-08T07:00:00-05:00', 'pm25', '0', 'µg/m³', '42.7708', '-71.1028'," '[{""name"":""US EPA AirNow""","url:""http://www.airnow.gov/""}","{""name"":""Massachusetts Dept. of Environmental Protection""}]']"
['Chelmsford', 'Boston-Cambridge-Quincy', 'US', '2020-02-08T12:00:00.000Z', '2020-02-08T07:00:00-05:00', 'o3', '0.038', 'ppm', '42.6267', '-71.3622'," '[{""name"":""US EPA AirNow""","url:""http://www.airnow.gov/""}","{""name"":""Massachusetts Dept. of Environmental Protection""}]']"
['Odiorne State Park', 'Boston-Cambridge-Quincy', 'US', '2020-02-08T12:00:00.000Z', '2020-02-08T07:00:00-05:00', 'o3', '0.033', 'ppm', '43.045269', '-70.713958'," '[{""name"":""US EPA AirNow""","url:""http://www.airnow.gov/""}","{""name"":""New Hampshire Dept. of Environmental Services""}]']"
['Portsmouth', 'Boston-Cambridge-Quincy', 'US', '2020-02-08T12:00:00.000Z', '2020-02-08T07:00:00-05:00', 'o3', '0.031', 'ppm', '43.075371', '-70.748017'," '[{""name"":""US EPA AirNow""","url:""http://www.airnow.gov/""}","{""name"":""New Hampshire Dept. of Environmental Services""}]']"
['E. Milton - Blue Hil', 'Boston-Cambridge-Quincy', 'US', '2020-02-08T11:00:00.000Z', '2020-02-08T06:00:00-05:00', 'o3', '0.036', 'ppm', '42.2117', '-71.114403'," '[{""name"":""US EPA AirNow""","url:""http://www.airnow.gov/""}","{""name"":""Massachusetts Dept. of Environmental Protection""}]']"
['Haverhill', 'Boston-Cambridge-Quincy', 'US', '2020-02-08T11:00:00.000Z', '2020-02-08T06:00:00-05:00', 'pm25', '0', 'µg/m³', '42.7708', '-71.1028'," '[{""name"":""US EPA AirNow""","url:""http://www.airnow.gov/""}","{""name"":""Massachusetts Dept. of Environmental Protection""}]']"
['Boston - Roxbury', 'Boston-Cambridge-Quincy', 'US', '2020-02-08T11:00:00.000Z', '2020-02-08T06:00:00-05:00', 'no2', '0.006', 'ppm', '42.329399', '-71.082497'," '[{""name"":""US EPA AirNow""","url:""http://www.airnow.gov/""}","{""name"":""Massachusetts Dept. of Environmental Protection""}]']"
['LYNN', 'Boston-Cambridge-Quincy', 'US', '2020-02-08T11:00:00.000Z', '2020-02-08T06:00:00-05:00', 'no2', '0.002', 'ppm', '42.474701', '-70.971901'," '[{""name"":""US EPA AirNow""","url:""http://www.airnow.gov/""}","{""name"":""Massachusetts Dept. of Environmental Protection""}]']"
['Odiorne State Park', 'Boston-Cambridge-Quincy', 'US', '2020-02-08T11:00:00.000Z', '2020-02-08T06:00:00-05:00', 'o3', '0.033', 'ppm', '43.045269', '-70.713958'," '[{""name"":""US EPA AirNow""","url:""http://www.airnow.gov/""}","{""name"":""New Hampshire Dept. of Environmental Services""}]']"
['Chelmsford', 'Boston-Cambridge-Quincy', 'US', '2020-02-08T11:00:00.000Z', '2020-02-08T06:00:00-05:00', 'o3', '0.038', 'ppm', '42.6267', '-71.3622'," '[{""name"":""US EPA AirNow""","url:""http://www.airnow.gov/""}","{""name"":""Massachusetts Dept. of Environmental Protection""}]']"
['Portsmouth', 'Boston-Cambridge-Quincy', 'US', '2020-02-08T11:00:00.000Z', '2020-02-08T06:00:00-05:00', 'so2', '0.002', 'ppm', '43.075371', '-70.748017'," '[{""name"":""US EPA AirNow""","url:""http://www.airnow.gov/""}","{""name"":""New Hampshire Dept. of Environmental Services""}]']"
['Boston - Roxbury', 'Boston-Cambridge-Quincy', 'US', '2020-02-08T11:00:00.000Z', '2020-02-08T06:00:00-05:00', 'o3', '0.032', 'ppm', '42.329399', '-71.082497'," '[{""name"":""US EPA AirNow""","url:""http://www.airnow.gov/""}","{""name"":""Massachusetts Dept. of Environmental Protection""}]']"
['LYNN', 'Boston-Cambridge-Quincy', 'US', '2020-02-08T11:00:00.000Z', '2020-02-08T06:00:00-05:00', 'pm25', '5', 'µg/m³', '42.474701', '-70.971901'," '[{""name"":""US EPA AirNow""","url:""http://www.airnow.gov/""}","{""name"":""Massachusetts Dept. of Environmental Protection""}]']"
['Portsmouth', 'Boston-Cambridge-Quincy', 'US', '2020-02-08T11:00:00.000Z', '2020-02-08T06:00:00-05:00', 'o3', '0.031', 'ppm', '43.075371', '-70.748017'," '[{""name"":""US EPA AirNow""","url:""http://www.airnow.gov/""}","{""name"":""New Hampshire Dept. of Environmental Services""}]']"
['Boston - Roxbury', 'Boston-Cambridge-Quincy', 'US', '2020-02-08T11:00:00.000Z', '2020-02-08T06:00:00-05:00', 'so2', '0', 'ppm', '42.329399', '-71.082497'," '[{""name"":""US EPA AirNow""","url:""http://www.airnow.gov/""}","{""name"":""Massachusetts Dept. of Environmental Protection""}]']"
['E. Milton - Blue Hil', 'Boston-Cambridge-Quincy', 'US', '2020-02-08T11:00:00.000Z', '2020-02-08T06:00:00-05:00', 'no2', '0.001', 'ppm', '42.2117', '-71.114403'," '[{""name"":""US EPA AirNow""","url:""http://www.airnow.gov/""}","{""name"":""Massachusetts Dept. of Environmental Protection""}]']"
['LYNN', 'Boston-Cambridge-Quincy', 'US', '2020-02-08T11:00:00.000Z', '2020-02-08T06:00:00-05:00', 'o3', '0.032', 'ppm', '42.474701', '-70.971901'," '[{""name"":""US EPA AirNow""","url:""http://www.airnow.gov/""}","{""name"":""Massachusetts Dept. of Environmental Protection""}]']"
['Portsmouth', 'Boston-Cambridge-Quincy', 'US', '2020-02-08T11:00:00.000Z', '2020-02-08T06:00:00-05:00', 'pm25', '2.3', 'µg/m³', '43.075371', '-70.748017'," '[{""name"":""US EPA AirNow""","url:""http://www.airnow.gov/""}","{""name"":""New Hampshire Dept. of Environmental Services""}]']"
['BOSTON-KENMORE', 'Boston-Cambridge-Quincy', 'US', '2020-02-08T11:00:00.000Z', '2020-02-08T06:00:00-05:00', 'so2', '0', 'ppm', '42.3489', '-71.097702'," '[{""name"":""US EPA AirNow""","url:""http://www.airnow.gov/""}","{""name"":""Massachusetts Dept. of Environmental Protection""}]']"
['Boston - Roxbury', 'Boston-Cambridge-Quincy', 'US', '2020-02-08T11:00:00.000Z', '2020-02-08T06:00:00-05:00', 'co', '0.14', 'ppm', '42.329399', '-71.082497'," '[{""name"":""US EPA AirNow""","url:""http://www.airnow.gov/""}","{""name"":""Massachusetts Dept. of Environmental Protection""}]']"
['Portsmouth', 'Boston-Cambridge-Quincy', 'US', '2020-02-08T11:00:00.000Z', '2020-02-08T06:00:00-05:00', 'pm10', '6', 'µg/m³', '43.075371', '-70.748017'," '[{""name"":""US EPA AirNow""","url:""http://www.airnow.gov/""}","{""name"":""New Hampshire Dept. of Environmental Services""}]']"
['Boston - Roxbury', 'Boston-Cambridge-Quincy', 'US', '2020-02-08T11:00:00.000Z', '2020-02-08T06:00:00-05:00', 'pm25', '0', 'µg/m³', '42.329399', '-71.082497'," '[{""name"":""US EPA AirNow""","url:""http://www.airnow.gov/""}","{""name"":""Massachusetts Dept. of Environmental Protection""}]']"
['Haverhill', 'Boston-Cambridge-Quincy', 'US', '2020-02-08T11:00:00.000Z', '2020-02-08T06:00:00-05:00', 'o3', '0.023', 'ppm', '42.7708', '-71.1028'," '[{""name"":""US EPA AirNow""","url:""http://www.airnow.gov/""}","{""name"":""Massachusetts Dept. of Environmental Protection""}]']"
['BOSTON-KENMORE', 'Boston-Cambridge-Quincy', 'US', '2020-02-08T11:00:00.000Z', '2020-02-08T06:00:00-05:00', 'no2', '0.006', 'ppm', '42.3489', '-71.097702'," '[{""name"":""US EPA AirNow""","url:""http://www.airnow.gov/""}","{""name"":""Massachusetts Dept. of Environmental Protection""}]']"
['E. Milton - Blue Hil', 'Boston-Cambridge-Quincy', 'US', '2020-02-08T10:00:00.000Z', '2020-02-08T05:00:00-05:00', 'no2', '0.001', 'ppm', '42.2117', '-71.114403'," '[{""name"":""US EPA AirNow""","url:""http://www.airnow.gov/""}","{""name"":""Massachusetts Dept. of Environmental Protection""}]']"
['LYNN', 'Boston-Cambridge-Quincy', 'US', '2020-02-08T10:00:00.000Z', '2020-02-08T05:00:00-05:00', 'o3', '0.032', 'ppm', '42.474701', '-70.971901'," '[{""name"":""US EPA AirNow""","url:""http://www.airnow.gov/""}","{""name"":""Massachusetts Dept. of Environmental Protection""}]']"
['BOSTON-KENMORE', 'Boston-Cambridge-Quincy', 'US', '2020-02-08T10:00:00.000Z', '2020-02-08T05:00:00-05:00', 'so2', '0', 'ppm', '42.3489', '-71.097702'," '[{""name"":""US EPA AirNow""","url:""http://www.airnow.gov/""}","{""name"":""Massachusetts Dept. of Environmental Protection""}]']"
